name,highway,longitude,latitude
Jesienna,bus_stop,19.141818,50.7701967
I Urząd Skarbowy,bus_stop,19.1137542,50.7985754
Pusta,bus_stop,19.1397401,50.7894541
Michałowskiego,bus_stop,19.125964,50.8449652
Fieldorfa-Nila,bus_stop,19.1323235,50.8401103
Fieldorfa-Nila,bus_stop,19.1328286,50.839878
Wręczycka,bus_stop,19.0805935,50.8223241
Wręczycka,bus_stop,19.0824021,50.8221238
Dobrzyńska,bus_stop,19.0544943,50.821277
Dobrzyńska,bus_stop,19.053304,50.8215543
Łęczycka,bus_stop,19.0644119,50.8204057
Łęczycka,bus_stop,19.0644532,50.8206479
Kaszubska,bus_stop,19.071716,50.821161
III Aleja Najświętszej Maryi Panny,bus_stop,19.1039981,50.8115736
Łódzka,bus_stop,19.099939,50.8239391
Parkitka - Osiedle,bus_stop,19.0969464,50.8241329
Fieldorfa-Nila,bus_stop,19.1325062,50.8392757
Iwaszkiewicza,bus_stop,19.121008,50.8367903
Promenada Niemena,bus_stop,19.1160526,50.8326067
Hala Polonia,bus_stop,19.1167079,50.8262432
Ludowa,bus_stop,19.1085425,50.8442824
Obrońców Westerplatte,bus_stop,19.1143144,50.834029
Obrońców Westerplatte,bus_stop,19.1156366,50.8346387
Wolna,bus_stop,19.1418888,50.8092716
Wolna,bus_stop,19.1423005,50.8085325
Mirów-Pegaz,bus_stop,19.2221332,50.8207092
Iwaszkiewicza,bus_stop,19.1206734,50.8363635
Iwaszkiewicza,bus_stop,19.121824,50.8363731
Plac Biegańskiego,bus_stop,19.1143281,50.811926
Stary Rynek,bus_stop,19.1284717,50.8119048
,bus_stop,19.1117487,50.8308522
"Wierzchowisko, szkoła",bus_stop,19.1318614,50.8730278
Powstańców Warszawy,bus_stop,19.0676876,50.7630166
Powstańców Warszawy,bus_stop,19.069053,50.7635339
Rzeczna,bus_stop,19.0754857,50.7669541
Sabinów,bus_stop,19.0911432,50.7730008
,bus_stop,19.0738625,50.7661739
,bus_stop,19.0952726,50.7744347
Rząsawa PKP,bus_stop,19.1756307,50.8828679
Jaskrów,bus_stop,19.2461689,50.8383966
,bus_stop,19.2454118,50.8382089
Michałowskigo,bus_stop,19.1266664,50.8452606
Kucelin,bus_stop,19.1731469,50.7906081
D.H. Sezam,bus_stop,19.1405129,50.7840191
Wawrzynowicza,bus_stop,19.1052622,50.827558
Obrońców Poczty Gdańskiej,bus_stop,19.1050632,50.8302036
Obrońców Poczty Gdańskiej,bus_stop,19.1055782,50.8307381
Kołakowskiego,bus_stop,19.1091461,50.8327807
Wawrzynowicza,bus_stop,19.1048129,50.8270092
Market OBI,bus_stop,19.1059543,50.824073
Kołakowskiego,bus_stop,19.1082472,50.8328184
Łódzka,bus_stop,19.1011619,50.8236661
Centrum Handlowe M1,bus_stop,19.1149824,50.8361341
Okrzei,bus_stop,19.1453226,50.7812318
Plac Biegańskiego,bus_stop,19.1140509,50.8125706
II Al. Najświętszej Maryi Panny,bus_stop,19.1198498,50.8120748
Pusta,bus_stop,19.1389434,50.7904119
Komenda Miejska Policji,bus_stop,19.10468,50.8174891
Dąbrowskiego - Sądy,bus_stop,19.1117634,50.8171821
Stroma,bus_stop,19.1343895,50.7939708
,bus_stop,19.1111402,50.8308927
,bus_stop,19.1957124,50.8362388
,bus_stop,19.2185114,50.8376559
,bus_stop,19.2297869,50.8390853
,bus_stop,19.2304842,50.839263
Aleja Jana Pawła II - Uniwersytet,bus_stop,19.11965,50.8173112
Politechnika,bus_stop,19.117769,50.8215128
Politechnika,bus_stop,19.1178668,50.8220663
,bus_stop,19.1108328,50.8270321
,bus_stop,19.1107605,50.8281685
Hoene-Wrońskiego,bus_stop,19.1110082,50.7990862
,bus_stop,19.1568478,50.7565269
Dąbrowskiego - Sądy,bus_stop,19.1134152,50.8168155
Market OBI,bus_stop,19.1052612,50.8245163
Raków - dworzec PKP,bus_stop,19.1537731,50.787813
Raków - dworzec PKP,bus_stop,19.1538759,50.7878989
,bus_stop,19.1567156,50.7565621
Mirów,bus_stop,19.2032497,50.8196909
Mirów,bus_stop,19.2030871,50.8197476
Hemańska,bus_stop,19.0984319,50.780841
Baczyńskiego,bus_stop,19.1268836,50.8389107
Baczyńskiego,bus_stop,19.1271775,50.8386535
Bohaterów Katynia,bus_stop,19.1498444,50.770326
Orkana - Szkoła,bus_stop,19.1319743,50.7792884
Orkana - Szkoła,bus_stop,19.131512,50.7795373
Bohaterów Katynia,bus_stop,19.1517038,50.7709078
Brzozowa,bus_stop,19.1433348,50.7807186
Błeszno,bus_stop,19.1520403,50.7668761
Komenda Miejska Policji,bus_stop,19.1054628,50.8168034
Dźbów,bus_stop,19.0624242,50.7606548
Słowackiego,bus_stop,19.1111121,50.8025795
Jagiellońska,bus_stop,19.1080533,50.7886901
Gnaszyn - Dospel,bus_stop,19.0521231,50.7968199
Lubojenka,bus_stop,19.1617383,50.8969952
,bus_stop,19.1456618,50.7697445
,bus_stop,19.1457329,50.7697445
Berger,bus_stop,19.1921405,50.8007932
Berger,bus_stop,19.1914209,50.8011883
Cmentarz Św. Rocha,bus_stop,19.0861546,50.8176263
Faradaya,bus_stop,19.1445143,50.8071707
Faradaya,bus_stop,19.1434427,50.8076518
Gazownia,bus_stop,19.1714711,50.8091363
Hallera,bus_stop,19.1677313,50.8073488
Hallera,bus_stop,19.1676149,50.8075634
Huculska,bus_stop,19.081109,50.8038995
Huculska,bus_stop,19.0812809,50.8049972
II Al. Najświętszej Maryi Panny,bus_stop,19.1195186,50.8117594
Jasna Góra,bus_stop,19.0984718,50.8103273
Odlewników,bus_stop,19.182761,50.8043411
Odlewników,bus_stop,19.1818108,50.8048646
Kopernika,bus_stop,19.1121065,50.8076827
Kopernika,bus_stop,19.1138522,50.80891
Kordeckiego,bus_stop,19.082093,50.8080032
Kordeckiego,bus_stop,19.0826684,50.8090065
Legionów,bus_stop,19.1960906,50.797641
Plac Biegańskiego,bus_stop,19.1123223,50.8108213
Skwer Sokołów,bus_stop,19.1042623,50.8051405
Skwer Sokołów,bus_stop,19.1054296,50.8053996
Wspólna,bus_stop,19.1497564,50.8075589
Wspólna,bus_stop,19.1485529,50.8080062
Wyszyńskiego,bus_stop,19.0841813,50.8137506
Wyszyńskiego,bus_stop,19.0847779,50.8146308
Złota,bus_stop,19.1552153,50.8067143
Złota,bus_stop,19.1584916,50.8071467
Św. Barbary - Szpital,bus_stop,19.0951809,50.8058534
Św. Barbary - Szpital,bus_stop,19.0950203,50.8061172
Św. Kazimierza,bus_stop,19.1033938,50.8077348
Św. Kingi,bus_stop,19.0871743,50.8033384
Św. Kingi,bus_stop,19.0883305,50.8034405
Żużlowa,bus_stop,19.1528429,50.8071123
Faradaya,bus_stop,19.1439615,50.8066732
Faradaya,bus_stop,19.1430488,50.8070867
Kordeckiego,bus_stop,19.082887,50.8084406
Plac Pamięci Narodowej,bus_stop,19.1146631,50.8053271
Urząd Celny,bus_stop,19.1623088,50.8070648
Św. Kazimierza,bus_stop,19.1021304,50.8080525
Oleńki,bus_stop,19.0922228,50.8096339
aleja Bohaterów Monte Cassino,bus_stop,19.1101306,50.7937415
I Urząd Skarbowy,bus_stop,19.1135025,50.798285
,bus_stop,19.1348285,50.7729738
,bus_stop,19.1513753,50.7710111
Promenada Niemena,bus_stop,19.1169439,50.8331602
Słonimskiego,bus_stop,19.1046749,50.8211228
Słonimskiego,bus_stop,19.1040533,50.8197352
Dąbrowskiego - Sądy,bus_stop,19.112488,50.8163978
Kurpińskiego,bus_stop,19.1198589,50.8302102
,bus_stop,19.1195149,50.8307561
Kiedrzyńska,bus_stop,19.1223747,50.8274294
Kiedrzyńska,bus_stop,19.1233872,50.8267386
Hala Polonia,bus_stop,19.1179122,50.8255564
Hala Polonia,bus_stop,19.1151493,50.8255281
Aleja Jana Pawła II - Uniwersytet,bus_stop,19.1184653,50.8184176
Okulickiego,bus_stop,19.0930981,50.8251293
Okulickiego,bus_stop,19.0923809,50.8246755
Okulickiego,bus_stop,19.0938439,50.8245376
św.Krzysztofa,bus_stop,19.0876078,50.8233767
św.Krzysztofa,bus_stop,19.0894391,50.8234195
św.Krzysztofa,bus_stop,19.0881767,50.8228093
Cmentarz św.Rocha,bus_stop,19.0879813,50.8193269
Cmentarz św.Rocha,bus_stop,19.0868183,50.8186759
Cmentarz św. Rocha,bus_stop,19.0865414,50.819597
Cmentarz św. Rocha,bus_stop,19.0881032,50.8186311
Wręczycka,bus_stop,19.0826345,50.8227011
Wręczycka,bus_stop,19.0811177,50.8232257
Odrodzenia,bus_stop,19.0722028,50.8287706
Odrodzenia,bus_stop,19.0722406,50.8290917
Grabówka,bus_stop,19.0602047,50.836808
Estakada,bus_stop,19.1423336,50.784185
D.H. Sezam,bus_stop,19.1414563,50.7831461
D.H Centrum,bus_stop,19.1180845,50.811178
Rakowska,bus_stop,19.1557131,50.7731627
Norwida,bus_stop,19.1633989,50.8384915
