name,leisure,landuse,natural,longitude,latitude
,,,,18.5677636,54.4341847
,,,,18.5447029,54.4571791
,,,,18.5612594,54.4618115
,,,,18.5557669,54.4535996
,,,,18.5561637,54.4553089
,,,,18.5563982,54.4547636
,,,,18.5601719,54.4535838
,,,,18.560231,54.4529223
,,,,18.5604601,54.4525185
,,,,18.5581777,54.4500878
,,,,18.5566624,54.4523401
,,,,18.4069276,54.3909246
,,,,18.3985353,54.3546252
,,,,18.6161564,54.3782494
Sektor C,,,,18.4578325,54.3763139
,,,,18.6425344,54.3947047
,,,,18.5919897,54.3428934
Brama nr 3,,,,18.5809697,54.4276874
,,,,18.6008502,54.411385
,,,,18.5609363,54.3995871
,,,,18.5599637,54.3946478
,,,,18.4066561,54.3587819
,,,,18.592724,54.3153638
,,,,18.6303544,54.2979276
,,,,18.4230696,54.427146
,,,,18.4110772,54.4137789
,,,,18.4329335,54.4172571
,,,,18.4136563,54.3894004
,,,,18.4142662,54.3898835
,,,,18.6411381,54.3544124
Wychowani na Traugutta,,,,18.6259827,54.3684268
,,,,18.4469944,54.3572174
,,,,18.5627015,54.4194165
,,,,18.5305503,54.4351277
,,,,18.6490742,54.3497327
,,,,18.4274654,54.4073641
,,,,18.5398137,54.4091728
,,,,18.5976916,54.3197114
,,,,18.6011366,54.3670255
,,,,18.5801533,54.4283485
,,,,18.5622882,54.4097952
,,,,18.5585592,54.4095597
,,,,18.5593117,54.4124914
,,,,18.5609405,54.4128885
,,,,18.5594311,54.4114411
,,,,18.5628719,54.4250723
,,,,18.561348,54.4254368
,,,,18.5565523,54.3473242
,,,,18.5010026,54.3180552
,,,,18.5000672,54.3184735
,,,,18.470271,54.271398
,,,,18.5678301,54.4312741
,,,,18.6733658,54.3543358
,,,,18.5053109,54.3211597
,,,,18.5350613,54.3520471
,,,,18.6117333,54.3973668
,,,,18.7448339,54.3600711
,,,,18.4643848,54.42601
,,,,18.5548003,54.3438053
,,,,18.5853298,54.3334382
,,,,18.6222192,54.3819008
,,,,18.4675927,54.4255154
,,,,18.5700802,54.3166044
,,,,18.4850802,54.4097688
,,,,18.4303305,54.4178989
,,,,18.6330826,54.3390082
,,,,18.5735863,54.375716
,,,,18.4390896,54.4198787
,,,,18.6492978,54.3599985
,,,,18.6486084,54.3600119
,,,,18.6268493,54.3991906
,,,,18.6750697,54.4078995
Wyjście,,,,18.5354194,54.4142199
,,,,18.5615701,54.396113
,,,,18.6229021,54.383233
,,,,18.6005103,54.4026876
,,,,18.5700534,54.403007
,,,,18.7386548,54.3587717
,,,,18.5551574,54.3726197
Ogród Botaniczny,garden,,,18.5646875,54.4108779
,,,,18.462506,54.4268937
,,,,18.5600135,54.3402393
,,,,18.4102238,54.2826593
,,,,18.5400873,54.2762605
,,,,18.4844284,54.3710086
,,,,18.5472646,54.4026666
,,,,18.4847842,54.3841417
,,,,18.4688931,54.3925235
,,,,18.4691198,54.392778
,,,,18.5211324,54.2928256
,,,,18.4847675,54.3843493
,,,,18.5599062,54.4045831
,,,,18.5536763,54.3430076
,,,,18.5558724,54.3431832
,,,,18.4871995,54.3853441
,,,,18.4666325,54.372409
,,,,18.5029487,54.3688783
Sektor B,,,,18.4586883,54.3766683
,,,,18.4959552,54.4287158
,,,,18.4274212,54.4073086
Brama 4,,,,18.6174761,54.3656012
,,,,18.6286518,54.3214592
,,,,18.6292617,54.321396
,,,,18.5569124,54.4481936
,,,,18.5830329,54.4349222
Tablica z nazwiskami poległych w grudniu 1970,,,,18.6491706,54.360701
,,,,18.5764556,54.4318015
,,,,18.5360872,54.4115599
,,,,18.6308036,54.3967948
,,,,18.5633875,54.4235945
,,,,18.5462411,54.450957
,,,,18.5365711,54.4142291
,,,,18.5950576,54.380032
,,,,18.5916931,54.3421177
,,,,18.5486285,54.4508583
,,,,18.5548931,54.4305688
,,,,18.4688069,54.4240434
,,,,18.4672979,54.42545
,,,,18.5725897,54.3793943
,,,,18.5065047,54.3613869
,,,,18.4642499,54.4266675
,,,,18.468002,54.4255969
,,,,18.4683424,54.4256683
,,,,18.462701,54.4275597
,,,,18.4624417,54.4275859
,,,,18.4027891,54.3944758
,,,,18.5334498,54.3553355
,,,,18.5575857,54.3344626
,,,,18.5474347,54.4062057
,,,,18.6225878,54.3670952
,,,,18.5733506,54.4196965
,,,,18.539223,54.4176802
,,,,18.6137384,54.4104345
,,,,18.6144471,54.4101448
,,,,18.620027,54.4110626
,,,,18.6152411,54.4126506
,,,,18.5568759,54.4043825
,,,,18.6212302,54.3715424
,,,,18.6315687,54.297277
,,,,18.630429,54.2967546
,,,,18.5423202,54.4407589
,,,,18.5627774,54.3310623
Wejście nr 5,,,,18.5889205,54.3713679
,,,,18.6113897,54.3799217
,,,,18.4351397,54.4201687
,,,,18.4438368,54.4213544
,,,,18.4443055,54.4216107
,,,,18.4446889,54.4219644
,,,,18.428931,54.4183659
,,,,18.4294663,54.4182041
,,,,18.4276499,54.4187625
,,,,18.434627,54.4071527
,,,,18.4320253,54.4054023
,,,,18.4344159,54.4059799
,,,,18.4354114,54.421765
,,,,18.4319785,54.4222407
,,,,18.6456856,54.395591
,,,,18.5449814,54.3343295
,,,,18.6017924,54.3970533
,,,,18.6088577,54.380065
,,,,18.597795,54.3835837
,,,,18.5783392,54.4206307
,,,,18.532647,54.4154716
,,,,18.6009073,54.4110482
,,,,18.6390207,54.3466998
,,,,18.6436038,54.3617023
,,,,18.6026015,54.4105396
,,,,18.59595,54.4102914
,,,,18.5969299,54.4104446
,,,,18.5958025,54.410195
,,,,18.5699311,54.4016702
,,,,18.5700377,54.4017793
,,,,18.5810093,54.3922178
,,,,18.5664951,54.4019341
,,,,18.5607979,54.3959089
,,,,18.5808297,54.3902676
,,,,18.581396,54.3897828
,,,,18.5709007,54.4002028
,,,,18.5567689,54.4056493
,,,,18.5702825,54.4032576
,,,,18.5666049,54.3940705
,,,,18.6240053,54.3594872
,,,,18.5711217,54.4034508
,,,,18.5701492,54.4050668
,,,,18.5666924,54.4073101
,,,,18.5669744,54.4073479
,,,,18.5670426,54.4071956
,,,,18.5673034,54.407392
,,,,18.5667581,54.4071565
,,,,18.5664897,54.4071914
,,,,18.5577997,54.4396531
,,,,18.5666833,54.410587
,,,,18.5630335,54.4130017
,,,,18.5620647,54.4115946
,,,,18.5631672,54.4128988
,,,,18.5627278,54.4120931
,,,,18.5631695,54.4120981
,,,,18.5652995,54.416603
,,,,18.5584897,54.4096723
,,,,18.5899595,54.4207807
,,,,18.5884993,54.4191186
,,,,18.5892741,54.4186345
,,,,18.5910232,54.4187783
,,,,18.6091849,54.4096013
,,,,18.584266,54.4186993
,,,,18.5868635,54.4204922
,,,,18.5804822,54.3721063
Wejście nr 9,,,,18.5797778,54.3725764
Wejście nr 4,,,,18.5874273,54.3731858
Wejście nr 1,,,,18.5827732,54.376135
,,,,18.5786792,54.4090865
,,,,18.5798814,54.4092788
,,,,18.6080427,54.3820769
,,,,18.6068892,54.3821743
,,,,18.6072032,54.3816998
,,,,18.60795,54.3816512
,,,,18.5629076,54.4235535
,,,,18.5625409,54.4180007
,,,,18.5631282,54.4190053
,,,,18.5627193,54.4183502
,,,,18.5631539,54.4190145
,,,,18.5632306,54.4194315
,,,,18.5584062,54.4100001
,,,,18.5415983,54.4095086
,,,,18.5579039,54.4073491
,,,,18.5336795,54.4087842
,,,,18.5953561,54.3947724
,,,,18.5364408,54.4050211
,,,,18.6080111,54.3816564
,,,,18.6032865,54.4117205
,,,,18.5619745,54.4176002
,,,,18.5602529,54.4524716
Wejście nr 2,,,,18.5862701,54.3749176
Wejście nr 3,,,,18.5856349,54.3734845
Wejście nr 10,,,,18.57825,54.3740499
,,,,18.5949491,54.4234595
,,,,18.5355123,54.4119308
,,,,18.5372177,54.4090678
