name,amenity,leisure,tourism,longitude,latitude
,,,,18.5608481,54.4583424
,,,,18.5619131,54.4493521
,,,,18.5616968,54.4499726
,,,,18.5643121,54.4492818
MOPS,community_centre,,,18.4922484,54.5621677
Dawna restauracja Maxim,,,attraction,18.5627832,54.4800233
Pure,,sports_centre,,18.5514422,54.4750251
,,,attraction,18.4791327,54.4537552
Okręt podwodny ORP Jastrząb-Kobben,,,attraction,18.5469318,54.5430861
U7,,sports_centre,,18.5379579,54.5073399
,,,,18.5368661,54.542532
Checz Gdynia,,sports_centre,,18.4845085,54.5360802
Tor Rowerowy,,track,,18.5185477,54.5007505
,,,,18.5447721,54.5408805
,,,,18.5616929,54.4563223
Młodzieżowy Dom Kultury,arts_centre,,,18.5090469,54.5269979
,,,viewpoint,18.566945,54.4797173
Dom,nightclub,,,18.5392703,54.5216377
,,,,18.5422223,54.5177902
,,,,18.5315325,54.4984705
,,,,18.5309554,54.4993557
,,,,18.5317227,54.4993042
,,,,18.5320427,54.4987976
"Klub Marynarki Wojennej ""Riwiera""",arts_centre,,,18.5480257,54.5161039
Wejscie do schronu,,,attraction,18.4836345,54.5341842
Wejście do schronu,,,attraction,18.4846737,54.533918
,,,,18.5627968,54.4554659
,,,,18.5603708,54.4599631
,,,,18.5623611,54.4563985
,,,,18.5618984,54.4574011
,,,,18.5612884,54.4583556
,,,,18.5608828,54.4602258
,,,,18.562396,54.4553883
,,,,18.5629256,54.4541631
,,,,18.5634179,54.4543523
,,,,18.5614236,54.4571493
Activ Fitness,,sports_centre,,18.5086848,54.5275737
Okna i drzwi: od•nowa,,,gallery,18.5436822,54.5216638
Energy Club,,sports_centre,,18.5141192,54.4740179
OKl27-27,,,attraction,18.5051405,54.5319283
Akademia Artystyczna Kappa,arts_centre,,,18.538742,54.5210818
Harem Club,nightclub,,,18.5353319,54.5191889
Klub Bilardowy Joker,,sports_centre,,18.5373779,54.5193859
Universal Club,nightclub,,,18.5411679,54.5207211
Deco Hobby,arts_centre,,,18.5417055,54.5203522
Świetlica socjoterapeutyczna Wyspa,community_centre,,,18.5432389,54.5247321
Grota Marysieńki,,,attraction,18.5607194,54.4715467
Fitness Club,,sports_centre,,18.5543142,54.4808804
Helios,cinema,,,18.5309803,54.5043005
Gdyńskie Centrum Filmowe,cinema,,,18.5432513,54.517138
Kreatywni,community_centre,,,18.5462151,54.5497402
