name,amenity,longitude,latitude
,,19.0376321,50.2498448
,,18.9271251,50.3507972
Technikum nr 4,school,18.9961228,50.2445864
,,18.9637114,50.3383235
,,18.970213,50.282553
,,18.9687756,50.2807531
,,18.9716922,50.2789704
,,18.972554,50.2794363
,,18.9720165,50.2801929
,,18.9341859,50.3253413
,,18.9863239,50.266078
,,18.9830612,50.2740578
Zespół Szkół Handlowych im. Bolesława Prusa,school,19.0736708,50.2727575
,,18.9769711,50.2749154
,,18.9776755,50.2755327
I Zespół Ogólnokształcących Szkół Społecznych im. Stanisława Konarskiego,school,19.0113083,50.2545427
,,18.9985263,50.2641822
,,18.9812007,50.2746077
,,18.9515615,50.2933255
I Liceum Ogólnokształcące im. Juliusza Słowackiego,school,18.9510483,50.2930163
Technikum Chemiczne,school,18.9464689,50.3059063
VII Liceum Ogólnokształcące,school,18.9466334,50.3059244
Państwowa Ogólnokszrałcąca Szkoła Muzyczna I st. im. Stanisława Moniuszki,school,19.010275,50.262416
Szkoła Policealna nr 6,school,18.9960159,50.2443403
XVI Liceum Ogólnokształcące,school,18.9960843,50.2444685
,,18.9945805,50.2441522
,,18.994602,50.2453754
,,18.9906598,50.2282299
,,18.9907827,50.2289642
Szkoła Policealna Nr 7,school,19.0087904,50.2549316
Technikum Nr 2,school,19.0085483,50.2549247
I Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi,school,19.0221394,50.2495285
Zespół Szkół Ogólnokształcących nr 1 im. Mikołaja Kopernika,school,19.0221813,50.2498109
Szkoła Policealna nr 5,school,18.9755328,50.2122588
Technikum nr 12,school,18.9756298,50.2122882
XVIII Liceum Ogólnokształcące,school,18.9755816,50.2122736
Technikum Uzupełniające nr 10 dla Dorosłych,school,18.973952,50.2091775
Technikum nr 16,school,19.0434663,50.2022105
Technikum nr 18,school,18.9739783,50.2090853
Zasadnicza Szkoła Zawodowa nr 15,school,18.9739652,50.2091314
,,18.9488855,50.2303589
IV Liceum Profilowane,school,19.0193606,50.2606228
Technikum Nr 8,school,19.0192266,50.2606763
Technikum nr 14,school,19.0852317,50.2526501
Technikum nr 19,school,19.0851253,50.2524552
Zasadnicza Szkoła Zawodowa,school,19.085025,50.2522863
Technikum Mechaniczno-Elektryczne im. Nikoli Tesli w Chorzowie,school,18.9380579,50.2689674
V Liceum Ogólnokształcące,school,18.9380757,50.2690863
,,18.9096768,50.2522128
,,18.9091242,50.2531142
,,18.9766628,50.2326834
,,18.9160508,50.3092457
,,18.9125021,50.3109585
,,19.0436346,50.2019925
,,19.0430947,50.2012829
,,19.034791,50.2469003
