name,highway,longitude,latitude
Bohaterów Monte Cassino 01,bus_stop,22.5059387,51.2472486
Zbożowa 02,bus_stop,22.5044833,51.2751359
5131 - Os. Skarpa 01,bus_stop,22.5371561,51.2258837
5132 - Os. Skarpa 02,bus_stop,22.5375563,51.2258012
KUL 02,bus_stop,22.5427905,51.2486482
Dworzec Główny PKS 02,bus_stop,22.5709843,51.2515955
2512 - Kalinowszczyzna 02,bus_stop,22.5941346,51.2535186
Zana Leclerc 03,bus_stop,22.5206784,51.2407316
Zana Leclerc 02,bus_stop,22.519971,51.241198
Skrzetuskiego 01,bus_stop,22.5129422,51.2395241
Szpital Wojewódzki 01,bus_stop,22.4992969,51.2393268
Ogród Saski 03,bus_stop,22.5506423,51.2476979
Os. Słowackiego 02,bus_stop,22.5216042,51.2433936
UMCS 02,bus_stop,22.5395939,51.2449099
Krakowskie Przedmieście 02,bus_stop,22.5528022,51.2476083
Krakowskie Przedmieście 04,bus_stop,22.5538589,51.2476431
Ogród Saski 01,bus_stop,22.551461,51.2472847
1071 - Lipowa - cmentarz 01,bus_stop,22.5525673,51.2438555
Muzyczna 01,bus_stop,22.552854,51.2397372
3503 - Zorza 03,bus_stop,22.5954917,51.2030412
,bus_stop,22.6462617,51.2114728
,bus_stop,22.6477574,51.2108166
Zorza 02,bus_stop,22.5951838,51.2036296
Jana Sawy 01,bus_stop,22.5256678,51.238877
Zana Leclerc 01,bus_stop,22.5176737,51.2405934
Rondo Krwiodawców 03,bus_stop,22.5239289,51.2504382
Dworzec Główny PKS 01,bus_stop,22.5696359,51.2514474
6715 - Sikorskiego 05,bus_stop,22.5306218,51.259359
Plac Litewski 02,bus_stop,22.5582031,51.248412
KUL 03,bus_stop,22.5411768,51.2490686
Rondo Krwiodawców 01,bus_stop,22.5263851,51.2520277
1242 - Lubomelska 02,bus_stop,22.5545466,51.2530361
Węglin 02,bus_stop,22.4827673,51.2313964
Brama Krakowska 02,bus_stop,22.5664894,51.2467222
Sikorskiego 02,bus_stop,22.5316765,51.2581393
KUL 01,bus_stop,22.5425469,51.2499175
Cisowa 02,bus_stop,22.5110511,51.250412
Pana Tadeusza 02,bus_stop,22.5323067,51.244245
Biskupa Fulmana 02,bus_stop,22.5425743,51.2008758
Koło 02,bus_stop,22.5370956,51.2185836
Krężnicka - kemping 02,bus_stop,22.52705,51.193018
Dąbrowa 02,bus_stop,22.5422851,51.1816082
Os. Nałkowskich 02,bus_stop,22.542208,51.2108065
Os. Nałkowskich 01,bus_stop,22.5416788,51.2100391
Roztocze 01,bus_stop,22.4911926,51.2260341
Brzeskiej 01,bus_stop,22.5358399,51.2360168
