name,amenity,longitude,latitude
,,18.5191311,54.5197704
,,18.4581034,54.5442519
,,18.4592032,54.5441554
,,18.4866856,54.4721883
,,18.5093563,54.4947951
,,18.4596207,54.4701888
,,18.4621778,54.4715741
,,18.460956,54.471963
,,18.4525403,54.5016114
,,18.536959,54.4824697
,,18.5367662,54.482697
,,18.5094201,54.4947852
,,18.51024,54.4946868
,,18.5056499,54.5580516
,,18.5058401,54.5584657
,,18.5377597,54.5507753
,,18.538554,54.5507885
,,18.5480282,54.5502443
,,18.5487554,54.5510423
,,18.5268872,54.5105762
Szkoła Językowa AMBIT,school,18.5121926,54.5495161
,,18.5532972,54.4931844
,,18.5045741,54.4994903
,,18.504657,54.5001967
,,18.5023712,54.5300621
,,18.5016684,54.5302453
,,18.496307,54.464526
,,18.5492322,54.5002641
,,18.5307127,54.4883086
Centrum nauki języka niemieckiego,school,18.5375444,54.5083534
,,18.55302,54.4927632
,,18.5586645,54.4798789
,,18.5474512,54.5064464
,,18.5518224,54.4931957
,,18.5519635,54.4937381
,,18.4962305,54.4642998
,,18.4937426,54.4647583
,,18.4963803,54.4647547
,,18.4628108,54.5391461
,,18.464316,54.5397103
,,18.4639053,54.5398349
,,18.5070122,54.5238348
,,18.5440333,54.510324
,,18.4920866,54.5593569
,,18.5272065,54.4843216
,,18.5270637,54.4840556
,,18.5638077,54.4811684
,,18.5624087,54.4811421
,,18.5633169,54.4811342
,,18.4878609,54.4735371
,,18.4885325,54.4731199
Państwowe Liceum Sztuk Plastycznych im. Magdaleny Abakanowicz,school,18.5568982,54.479672
,,18.4602244,54.4719297
,,18.4620273,54.4711802
,,18.4586564,54.4709565
,,18.5518789,54.4936639
,,18.4918925,54.5609877
,,18.4912837,54.5609386
,,18.4924821,54.5593563
,,18.492682,54.5609299
,,18.5034854,54.5533166
,,18.5601623,54.4788173
,,18.558869,54.4799949
,,18.5597622,54.4799403
,,18.4586488,54.4700568
,,18.5055638,54.5581284
,,18.5056922,54.5582762
,,18.5197983,54.5190077
,,18.5247119,54.5153705
,,18.5453706,54.5074733
,,18.5238529,54.5141989
II Liceum Ogólnokształcące im. Józefa Konrada Korzeniowskiego w Rumi,school,18.4173131,54.5645105
,,18.5233385,54.5183992
,,18.5313648,54.4570181
,,18.5490827,54.5005917
,,18.5495572,54.499545
,,18.549683,54.4992691
,,18.5452194,54.5093714
,,18.5551261,54.4528181
Szkoła Muzyczna I i II stopnia w Gdyni,school,18.538275858324806,54.504920848339914
Zespół Szkół Chłodniczych i Elektronicznych,school,18.491868118958283,54.52700382097269
Zespół Szkół Ekologiczno-Transportowych,school,18.483231653034608,54.53511306620514
III Liceum Ogólnokształcące im. Marynarki Wojennej RP w Gdyni,school,18.546416663264218,54.50710118870339
Centrum Kształcenia Zawodowego i Ustawicznego w Gdyni nr 2,school,18.518680764989718,54.555665859775935
V Liceum Ogólnokształcące w Gdyni,school,18.548486306860422,54.55055736549328
Zespół Szkół Katolickich im. Jana Pawła II,school,18.509123228417845,54.552732595959625
III Liceum Ogólnokształcące,school,18.532777881603426,54.45662393837546
I Akademickie Liceum Ogólnokształcące im. Zasłużonych Ludzi Morza,school,18.51635646842023,54.49815620374373
Zespół Szkół Handlowych w Sopocie,school,18.554311656389945,54.45271880685364
Gdynia International School,school,18.5119168335051,54.524685654252885
Zespół Szkół Hotelarsko-Gastronomicznych,school,18.515827229557747,54.52475449873667
Centrum Kształcenia Zawodowego i Ustawicznego nr 1,school,18.514018172744922,54.5249678618984
Gdyńska Szkoła Społeczna,school,18.52282530651702,54.51860420963431
II Liceum Ogólnokształcące,school,18.51915347374703,54.51934011939726
Zespół Szkół Administracyjno - Ekonomicznych,school,18.549836870483578,54.481965582316505
